id,name,contact_phone,contact_email,street_address,website,city,state,zip,latitude,longitude,share_address,share_phone,share_email,created_at,updated_at
35,Harbor of Safety,210-775-3285,serafina@brown.test,141 Dusty Branch,http://schamberger-collier.test/tod.crooks,San Diego,CA,57165,32.972091695130025,-117.24519841788133,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
36,Angel's Arms Shelter,(482) 099-5773,marion@pacocha.test,44428 Josphine Knolls,http://rath-feest.example/sterling,San Francisco,CA,49802,37.80308374761315,-122.38650890109994,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
37,Beloved Shelter,1-178-851-3266,haley.pacocha@goldner.test,901 German Summit,http://farrell-weber.example/andres_will,Omaha,NE,44473,41.15370804827531,-95.76689598128571,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
38,Dream Safe Haven,1-304-036-8921,julieann@roberts.test,7556 Klein Islands,http://marks-heaney.example/shante,Austin,TX,93837,30.360621300958663,-97.89011822221687,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
39,Graceful Shelter,1-985-577-7569,joye@runolfsson-hansen.test,7509 Olson Run,http://littel-luettgen.test/gearldine,Minneapolis,MN,90650,45.23946493619013,-93.19342447247618,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
40,Sheltered Hearts Sanctuary,514.330.7381,katheryn@watsica-macgyver.example,237 Christeen Mount,http://rau-lindgren.example/rick_mann,Albuquerque,NM,35513-6762,35.27964922719594,-106.53218536497553,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
41,Hopeful Haven Shelter,130-994-4358,steve.becker@daniel.example,852 Crona Ford,http://braun-bogisich.test/randall_bogisich,San Jose,CA,53464,37.29913314361179,-121.69497047921934,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
42,Solace Shelter,1-947-859-5238,cherise@jakubowski-wehner.test,716 Johnson Field,http://ferry.test/daisy_baumbach,Oakland,CA,10114,37.90856731049892,-122.39929840946384,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
43,Heartwarming Shelter,581-010-2355,rene.mills@cassin-crist.test,70477 Champlin Springs,http://oberbrunner.test/rhoda.braun,Detroit,MI,20704,42.42557419795033,-83.02443165012565,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
44,Solace Shelter,1-714-685-2354,caleb@grady.example,7921 Merle Spring,http://little-ruecker.test/jasper,Atlanta,GA,41656-9768,33.88405582405384,-84.27476946578753,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
45,Emerald Oasis Shelter,1-828-748-7129,lee@jast.test,7762 Christiansen Creek,http://stiedemann.test/zoe_howell,Houston,TX,68982,29.949395919679876,-95.50752172329122,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
46,Golden Oasis Shelter,(544) 819-0885,percy.wiegand@satterfield-roob.test,781 Metz Mountain,http://barrows-gorczany.example/allen.blanda,Philadelphia,PA,99969,39.94422378111583,-75.22247958557033,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
47,Compassion Corner,512-462-8187,farah.cremin@dibbert-kunze.example,506 Sawayn Inlet,http://upton.test/alphonso,San Francisco,CA,36627,37.878700383990186,-122.17901545729141,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
48,Journey to Belonging,1-760-983-4801,gino.pollich@schowalter.example,5992 Murray Creek,http://paucek.example/johnie,Sacramento,CA,42109,38.62865675366567,-121.7787810063101,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
49,Sanctuary of Dreams,997-426-2720,un@rice.example,930 Wyman Key,http://satterfield.example/jack.borer,Minneapolis,MN,65560-7223,44.72813867617008,-93.2433493038399,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
50,Safe Passage Shelter,1-763-959-2468,lindsay.predovic@blick.test,882 Wolf Common,http://lubowitz.test/floyd_feest,Las Vegas,NV,61375-7675,36.12184355429806,-115.0857796790707,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
51,Safe Passage Shelter,272.837.3325,raeann@veum-raynor.test,480 Dagmar View,http://kutch-harvey.example/tina_gleichner,Omaha,NE,01891-3330,41.38232471126445,-96.0181546157042,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
52,New Horizons Shelter,(942) 774-1046,tracey_emmerich@robel.test,907 Jason Coves,http://connelly-trantow.test/cyndi_waelchi,Albuquerque,NM,33842,35.184440772966845,-106.72736088249408,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
53,Solace Shelter,694.432.7103,jadwiga.bechtelar@russel-mccullough.test,822 Shanika Lodge,http://paucek.test/colton.berge,Charlotte,NC,83559,35.17179049147846,-80.8383077709991,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
54,Heavenly Harbor,(519) 844-3200,jerrod@schaden.test,89606 Hane Place,http://senger.test/xiomara,Tucson,AZ,44503-2625,32.393610683737315,-110.84559440916898,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
55,Benevolent Refuge,1-849-469-5792,verlene@wilderman-turner.test,54873 Considine Street,http://waters.test/raina,New Orleans,LA,15780,30.188388784167458,-89.72962029134321,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
56,Bridge to Belonging,(387) 622-8719,ivonne_fay@carroll-schmidt.test,5098 Winston Mill,http://trantow-lynch.example/mack_baumbach,Phoenix,AZ,98968-8501,33.5807726610721,-111.8284812701828,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
57,Heavenly Harbor,416.668.4401,tereasa@reynolds-volkman.example,2484 Sporer Inlet,http://howe.test/perry_cronin,Columbus,OH,25161-9265,40.1262885429556,-82.76885326712527,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
58,Golden Oasis Shelter,(299) 148-5320,malcolm.bogisich@herman.test,640 Elton Station,http://feest.test/bertha,El Paso,TX,05688-2289,31.939565745476834,-106.21030627694061,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
59,Beloved Shelter,969-834-8829,vern@leannon.test,9782 Regena Summit,http://schamberger-farrell.example/margot,San Francisco,CA,92029,37.96972662621741,-122.67385720638494,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
60,Strength in Unity Haven,1-320-631-4833,dung.schultz@weimann-tremblay.test,88183 Herschel Stream,http://hodkiewicz.test/ervin_kreiger,Wichita,KS,80251,37.44562480662,-97.45622631552524,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
61,Harmony Haven,476.224.5202,yuonne@casper.test,38111 Corkery Keys,http://raynor-bogisich.example/gemma,Columbus,OH,03222,39.684854005132635,-82.82813925119963,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
62,Empathy Haven,754.226.1260,calista@kutch.example,992 Herzog Junctions,http://zemlak.example/jefferson_larkin,Miami,FL,86459,25.842127221366507,-79.8582025796885,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
63,Emerald Oasis Shelter,(739) 194-6826,orlando@langworth.test,9192 Will Gardens,http://kub-larkin.test/ramon,Denver,CO,38199-2171,39.68804111102253,-104.83291406753288,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
64,Peaceful Pathway Shelter,120.193.2254,shila_predovic@kuhic.example,64811 Willard Mountains,http://mayer.test/wiley,Columbus,OH,10234-7366,39.754116955625975,-83.02038001599404,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
65,Sunny Days Refuge,1-643-324-9961,rebeca_mckenzie@schneider-huel.example,478 Kreiger Spur,http://welch-gibson.example/loriann,Austin,TX,48317,30.49776798038636,-97.79129027999865,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
66,Healing Hearts Haven,(636) 442-8630,corinne_deckow@walker.test,788 Johnny Station,http://gulgowski.example/september.kovacek,San Jose,CA,43620-6741,37.099633310160584,-121.77329939526736,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
67,Sanctuary of Dreams,1-292-135-1322,abby@gerlach.test,2109 Nicolas Haven,http://hintz-willms.example/tiny_blanda,San Jose,CA,82456,37.60059058644455,-121.81615782578523,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
68,Graceful Shelter,(928) 194-4891,yun@bernhard-cummings.test,8259 Collier Trail,http://maggio-quigley.example/dino,Columbus,OH,90708,40.04481932028753,-83.16516591407233,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
69,Hopeful Haven Shelter,747.888.7095,ofelia@heller.example,21854 Edmundo Terrace,http://huels.example/margaretta,Albuquerque,NM,52123,34.97289396727012,-106.84052521488822,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
70,Emerald Oasis Shelter,335.840.4370,cristine_sauer@mohr-parisian.test,575 Weldon Key,http://lowe.test/bennie.mcdermott,New Orleans,LA,34263-1742,29.73731046014851,-89.86902949109053,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
71,Beloved Shelter,907-712-2032,enrique_gorczany@mraz-herman.example,1968 Rempel Station,http://haley.example/ta_jones,Houston,TX,39126,29.64954873406504,-95.6823925039901,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
72,Sheltered Hearts Sanctuary,800-475-4960,jean_cartwright@herzog.example,81562 Dora Parkway,http://steuber.example/keith,Boston,MA,47049,42.41764051291415,-71.4115719042869,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
73,Sunrise Sanctuary,1-748-461-1692,marcela@lind.test,58870 Delois Falls,http://corwin.test/neal_beatty,Fort Worth,TX,78789-0469,32.75432676812039,-97.58725566387609,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
74,Safe Haven Refuge,(702) 555-8804,jeffery@koepp.example,487 Kreiger Viaduct,http://mante-gutmann.example/clarence_bradtke,Oakland,CA,83164-0783,38.043410072587186,-122.31032508141728,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
75,Bridges of Hope Shelter,131.093.1539,frank@windler-stoltenberg.test,2893 Hyatt Garden,http://jaskolski-muller.test/carley_wilkinson,Fort Worth,TX,46642,32.473263837114025,-97.05914832265228,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
76,Warmth and Welcome Shelter,887-756-6157,russel@romaguera.test,8897 Gislason Club,http://johnson.example/kristofer.dietrich,Philadelphia,PA,24387-5046,39.87285177691359,-75.33523726646283,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
77,Hopeful Haven Shelter,1-624-190-4863,royal_roberts@stiedemann.example,28375 Ratke Haven,http://jenkins.test/suzette_damore,Louisville,KY,29047-2467,38.28292063601337,-85.77635046942125,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
78,Warmth and Welcome Shelter,1-639-473-0716,paul@oconner.example,3981 Errol Club,http://hessel-durgan.example/johnny_king,Tulsa,OK,26960,36.1364879679933,-96.09156335089797,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
79,Sunrise Sanctuary,(910) 138-6655,noe@lang-weissnat.example,10083 Elmer Courts,http://schulist.test/alphonse.conroy,Virginia Beach,VA,32877-7711,36.606623847713436,-76.25105431338329,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
80,Bridge to Belonging,447.007.7539,adele_williamson@hudson.test,1925 Rocky Field,http://jacobson.example/jason,Sacramento,CA,05693,38.316380511572646,-121.47620356071019,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
81,Hope Bridge Shelter,1-926-703-2504,emerson@morissette.test,72547 Hirthe Manor,http://deckow.example/mario,Detroit,MI,29160,42.124897208839585,-82.88665443132668,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
82,Lighthouse of Hope,(654) 826-2970,margherita@veum.example,408 Glenn Streets,http://kuhn.test/neal_skiles,Long Beach,CA,88224,33.53710352295785,-117.90728242077734,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
83,Warm Embrace Refuge,440-873-8166,milan_hagenes@fisher-donnelly.example,24887 Karri Hills,http://bergnaum.test/donette_schmidt,Nashville,TN,93181,35.99915378136554,-86.80919606930225,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
84,Pathway to Peace Refuge,131.695.7501,clarence_howe@doyle.example,33384 Beatty Square,http://mertz.example/brice_cormier,Fort Worth,TX,29511,32.58795906432673,-97.33959334075873,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
85,Guiding Light Shelter,240.063.6854,adriane_hermiston@considine.test,24398 Conroy Pass,http://feest-medhurst.test/wilburn.johns,Atlanta,GA,91683,33.92012050771323,-84.10626132703794,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
86,Warm Embrace Refuge,1-355-874-2147,alverta_connelly@kutch.test,83521 Mila Inlet,http://nicolas.test/lorri.terry,Milwaukee,WI,01143,43.062215233016346,-87.86821937575827,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
87,Harmony Haven,1-419-029-1802,ivette_connelly@kovacek.example,1203 Leffler View,http://runolfsson.test/madge.wintheiser,San Antonio,TX,00759-4485,29.47557073308731,-98.63009952696606,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
88,Bridge to Belonging,1-673-307-3544,lauren.hills@williamson.example,9205 Huel Walk,http://fisher.test/justin_hamill,Miami,FL,03025,25.806049044324276,-80.31405836429828,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
89,Rescue Refuge Center,262.698.8990,calvin@harvey.test,9304 Morar Springs,http://emmerich.example/ian.hirthe,Tucson,AZ,19928-2251,32.31906745547397,-110.96570622851296,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
90,Comfort Cove Shelter,346.210.3979,pearly@hahn-kilback.example,1451 Dooley Harbor,http://kassulke.test/april_romaguera,Portland,OR,42897,45.433213962723414,-122.37981768035213,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
91,Heavenly Harbor,(474) 715-0991,richie.schowalter@miller.test,667 Pfannerstill Pine,http://strosin.test/tesha_sporer,Miami,FL,87957,26.008943937495534,-80.0630775514164,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
92,Compassion Corner,1-124-882-5500,winfred@lesch-mohr.example,7798 Gleason Course,http://okuneva.example/arlean,Milwaukee,WI,01117-7269,42.846042884163936,-87.75536859887549,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
93,Sheltered Serenity,149-199-7414,freddie_leannon@sipes-hilpert.example,215 Littel Crossroad,http://beer-abbott.test/jamila.herman,Arlington,TX,58945,32.994350000112185,-96.98220987054442,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
94,Harmony Haven,669.050.3431,alexander_rutherford@berge.test,5033 Faye Heights,http://block.test/emerson,Oklahoma City,OK,66922-8108,35.59463745132298,-97.56904970035312,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
95,Peaceful Pathway Shelter,1-291-049-3477,angela_kunde@monahan-swift.test,29420 Treutel Rapid,http://shanahan-friesen.test/henriette,New Orleans,LA,52232-6438,29.768678469154093,-89.72460386224223,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
96,Recovery Refuge,508-339-3213,jamel.predovic@fay.test,1788 Stanton Dale,http://bergstrom.example/jeffrey,Dallas,TX,11221,32.66348479774335,-96.9413234888019,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
97,Life Renewal Refuge,(706) 914-1841,epifania@langosh.example,61821 Hauck Burg,http://stroman-paucek.example/claudette,Denver,CO,61177,40.027607142313215,-104.98412462272941,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
98,Beloved Shelter,644-075-9074,freddy.beahan@boyer.example,220 Page Meadow,http://romaguera.example/clint,Los Angeles,CA,14918,34.216006800180786,-118.51699460243317,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
99,Warm Embrace Refuge,1-265-031-7807,laverna_haag@labadie-mayer.test,4095 Dach Fords,http://heaney.example/serina.jerde,New York City,NY,20813-8431,40.926211550250976,-74.25380601524853,false,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
100,Beloved Shelter,503-921-5264,deanna@gorczany-weber.example,200 Rima Mission,http://wiza-bernhard.example/alethea_botsford,San Diego,CA,26678-9123,32.971499655449236,-117.33100298727163,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
101,Welcome Winds Refuge,311-333-1138,leslie.durgan@rohan.test,89995 Rosendo Lock,http://langosh-farrell.example/luciano_schamberger,Atlanta,GA,32301,33.52562545089404,-84.16749286061443,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
102,Tranquil Oasis,(162) 833-5869,becki_daniel@williamson.example,8356 Robel Passage,http://sauer.test/tammara,New York City,NY,28770,40.82080532480709,-73.9934197833657,true,false,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
103,Shelter from the Storm,(471) 090-0831,shelly_conn@gislason.test,756 Eloy Port,http://williamson-wehner.test/terrie,Tulsa,OK,83397-9379,36.255782405985954,-95.70041228772067,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
104,Harmony Haven,948-241-0204,rachelle_leuschke@sauer.test,8105 Earlie Roads,http://towne.test/autumn.mante,Nashville,TN,44611-6321,36.245407348792774,-86.71809605941081,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
105,Golden Oasis Shelter,(640) 002-1807,jared.ernser@dach.test,4982 Dickens Run,http://hilpert-hills.example/zachariah,Sacramento,CA,12204,38.51020682796353,-121.13093958705537,false,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
106,Rescue Refuge Center,931.583.5457,reed.farrell@hirthe.test,5507 McClure Trace,http://zemlak.test/junita,Kansas City,MO,98774,39.27377791264107,-94.565655645728,true,true,true,2023-10-15 20:34:29 UTC,2023-10-15 20:34:29 UTC
